Country Name,Country Code,Year,Value
Bermuda,BMU,1960,44400
Bermuda,BMU,1961,45500
Bermuda,BMU,1962,46600
Bermuda,BMU,1963,47700
Bermuda,BMU,1964,48900
Bermuda,BMU,1965,50100
Bermuda,BMU,1966,51000
Bermuda,BMU,1967,52000
Bermuda,BMU,1968,53000
Bermuda,BMU,1969,54000
Bermuda,BMU,1970,55000
Bermuda,BMU,1971,54600
Bermuda,BMU,1972,54200
Bermuda,BMU,1973,53800
Bermuda,BMU,1974,53400
Bermuda,BMU,1975,53000
Bermuda,BMU,1976,53200
Bermuda,BMU,1977,53400
Bermuda,BMU,1978,53600
Bermuda,BMU,1979,53800
Bermuda,BMU,1980,54670
Bermuda,BMU,1981,55050
Bermuda,BMU,1982,55449
Bermuda,BMU,1983,55930
Bermuda,BMU,1984,56423
Bermuda,BMU,1985,56898
Bermuda,BMU,1986,57382
Bermuda,BMU,1987,57849
Bermuda,BMU,1988,58347
Bermuda,BMU,1989,58841
Bermuda,BMU,1990,59326
Bermuda,BMU,1991,59021
Bermuda,BMU,1992,58595
Bermuda,BMU,1993,58910
Bermuda,BMU,1994,59320
Bermuda,BMU,1995,59746
Bermuda,BMU,1996,60129
Bermuda,BMU,1997,60497
Bermuda,BMU,1998,60943
Bermuda,BMU,1999,61285
Bermuda,BMU,2000,61833
Bermuda,BMU,2001,62504
Bermuda,BMU,2002,62912
Bermuda,BMU,2003,63325
Bermuda,BMU,2004,63740
Bermuda,BMU,2005,64154
Bermuda,BMU,2006,64523
Bermuda,BMU,2007,64888
Bermuda,BMU,2008,65273
Bermuda,BMU,2009,65636
Bermuda,BMU,2010,65124
Bermuda,BMU,2011,64564
Bermuda,BMU,2012,64798
Bermuda,BMU,2013,65001
Bermuda,BMU,2014,65139
Bermuda,BMU,2015,65239
Bermuda,BMU,2016,64555
Bermuda,BMU,2017,63874
Bermuda,BMU,2018,63973
France,FRA,1960,46621669
France,FRA,1961,47240543
France,FRA,1962,47904877
France,FRA,1963,48582611
France,FRA,1964,49230595
France,FRA,1965,49818028
France,FRA,1966,50330262
France,FRA,1967,50775794
France,FRA,1968,51175508
France,FRA,1969,51561836
France,FRA,1970,51957738
France,FRA,1971,52371342
France,FRA,1972,52793138
France,FRA,1973,53207734
France,FRA,1974,53592233
France,FRA,1975,53931390
France,FRA,1976,54220022
France,FRA,1977,54467702
France,FRA,1978,54691851
France,FRA,1979,54917118
France,FRA,1980,55161527
France,FRA,1981,55430296
France,FRA,1982,55718933
France,FRA,1983,56023770
France,FRA,1984,56337666
France,FRA,1985,56654696
France,FRA,1986,56976123
France,FRA,1987,57302663
France,FRA,1988,57627105
France,FRA,1989,57940212
France,FRA,1990,58235697
France,FRA,1991,58559311
France,FRA,1992,58851217
France,FRA,1993,59106768
France,FRA,1994,59327192
France,FRA,1995,59541899
France,FRA,1996,59753100
France,FRA,1997,59964851
France,FRA,1998,60186288
France,FRA,1999,60496718
France,FRA,2000,60912500
France,FRA,2001,61357430
France,FRA,2002,61805267
France,FRA,2003,62244886
France,FRA,2004,62704895
France,FRA,2005,63179351
France,FRA,2006,63621381
France,FRA,2007,64016225
France,FRA,2008,64374984
France,FRA,2009,64707040
France,FRA,2010,65027507
France,FRA,2011,65342780
France,FRA,2012,65659809
France,FRA,2013,65998687
France,FRA,2014,66312067
France,FRA,2015,66548272
France,FRA,2016,66721256
France,FRA,2017,66865144
France,FRA,2018,66977107
Panama,PAN,1960,1132997
Panama,PAN,1961,1167113
Panama,PAN,1962,1202449
Panama,PAN,1963,1238889
Panama,PAN,1964,1276331
Panama,PAN,1965,1314677
Panama,PAN,1966,1353842
Panama,PAN,1967,1393825
Panama,PAN,1968,1434669
Panama,PAN,1969,1476481
Panama,PAN,1970,1519285
Panama,PAN,1971,1563093
Panama,PAN,1972,1607796
Panama,PAN,1973,1653212
Panama,PAN,1974,1699054
Panama,PAN,1975,1745138
Panama,PAN,1976,1791380
Panama,PAN,1977,1837800
Panama,PAN,1978,1884424
Panama,PAN,1979,1931304
Panama,PAN,1980,1978487
Panama,PAN,1981,2025971
Panama,PAN,1982,2073757
Panama,PAN,1983,2121860
Panama,PAN,1984,2170325
Panama,PAN,1985,2219201
Panama,PAN,1986,2268500
Panama,PAN,1987,2318264
Panama,PAN,1988,2368551
Panama,PAN,1989,2419426
Panama,PAN,1990,2470947
Panama,PAN,1991,2523118
Panama,PAN,1992,2575954
Panama,PAN,1993,2629580
Panama,PAN,1994,2684116
Panama,PAN,1995,2739668
Panama,PAN,1996,2796291
Panama,PAN,1997,2853913
Panama,PAN,1998,2912316
Panama,PAN,1999,2971196
Panama,PAN,2000,3030328
Panama,PAN,2001,3089648
Panama,PAN,2002,3149188
Panama,PAN,2003,3209048
Panama,PAN,2004,3269356
Panama,PAN,2005,3330217
Panama,PAN,2006,3391666
Panama,PAN,2007,3453675
Panama,PAN,2008,3516204
Panama,PAN,2009,3579215
Panama,PAN,2010,3642687
Panama,PAN,2011,3706483
Panama,PAN,2012,3770624
Panama,PAN,2013,3835437
Panama,PAN,2014,3901315
Panama,PAN,2015,3968487
Panama,PAN,2016,4037078
Panama,PAN,2017,4106771
Panama,PAN,2018,4176873
