,Bermuda,France,Panama
2021,156.67336963424827,87.83645845266467,55.49017191308706
2020,158.7593570616393,86.00351959157267,55.23712334678804
2019,158.37896133519484,85.7414206260735,55.879618038731635
2018,156.3852215334285,87.20514009799393,56.40963836857755
2017,155.62850599940745,87.7118868325707,56.65960716802183
2016,155.80140401328322,86.82558608750968,57.373009899207084
2015,153.91563489258058,87.7020986789556,58.38226642846382
2014,153.5015296667613,86.58245439468271,59.91601593855598
2013,153.12222057055737,86.20063284091408,60.67714658852855
2012,152.13385829132127,88.02256531525693,59.84357639342183
2011,150.13304696386672,90.43268748002413,59.43426555610913
2010,152.88881146327705,90.58615724772494,56.52503128899801
2009,152.06598241524875,91.90715672761422,56.02686085713701
2008,152.30281617763595,94.44349199169562,53.25369183066842
2007,151.03368153638752,97.34422469229253,51.62209377132001
2006,148.4581196361313,99.95300590583125,51.58887445803746
2005,145.34201679104143,102.46434395984795,52.19363924911063
2004,141.41278423008484,105.30208414615659,53.28513162375859
2003,140.06666838137144,105.74383541645072,54.18949620217788
2002,140.79880866949452,103.81633325149187,55.38485807901362
2001,135.24018320611754,107.94640187084245,56.813414923039986
2000,136.63788941982295,107.32365131127214,56.038459268904916
1999,139.47607847068454,105.05236741633132,55.471554112984144
1998,137.92802750673104,106.19899207532623,55.87298041794273
1997,136.32891030642034,107.49225998590974,56.17882970766996
1996,134.02549513092808,109.43216183336288,56.542343035708996
1995,115.73028498104416,120.50780627359498,63.76190874536087
1994,113.463008127058,121.71470329059943,64.82228858234255
1993,113.39788268654493,122.89190160510614,63.710215708348926
1992,111.41816924885819,124.99154193511201,63.59028881602977
1991,111.53789973932464,126.16508781919691,62.29701244147851
1990,108.47920790092725,127.3521564856934,64.1686356133794
